Area,Week,Number,MOE,Percent,MOE Percent
Kentucky,"27 - March 17-29, 2021",1086115,117576,33.9,3.7
Louisiana,"19 - November 11-23, 2020",900735,117516,27.2,3.5
Alabama,"17 - October 14-26, 2020",1046823,117197,30.2,3.3
Indiana,"15 - September 16-28, 2020",1571835,117156,33,2.4
Massachusetts,"15 - September 16-28, 2020",2378668,116628,47.2,2.2
Wisconsin,"22 - January 6-18, 2021",1482418,116062,35,2.7
Missouri,"25 - February 17 - March 1, 2021",1563937,115995,36.2,2.7
Louisiana,"27 - March 17-29, 2021",911642,115826,28.1,3.4
Alabama,"24 - February 3-15, 2021",998129,115826,28.7,3.3
Wisconsin,"18 - October 28 - November 9, 2020",1462890,115505,34.9,2.8
Wisconsin,"20 - November 25 - December 7, 2020",1515682,114828,36,2.8
Massachusetts,"14 - September 2-14, 2020",2448734,114469,48.4,2.2
Kentucky,"21 - December 9-21, 2020",919559,113987,28.5,3.5
Virginia,"16 - September 30 - October 12, 2020",2711933,113852,43.5,1.9
Indiana,"24 - February 3-15, 2021",1390884,113687,29.5,2.4
South Carolina,"18 - October 28 - November 9, 2020",1070575,113397,28,2.9
Alabama,"20 - November 25 - December 7, 2020",825301,113114,23.3,3.3
Maryland,"20 - November 25 - December 7, 2020",2165424,112790,50.1,2.6
Kentucky,"24 - February 3-15, 2021",856856,112766,27.5,3.7
Missouri,"17 - October 14-26, 2020",1487867,112525,33.8,2.6
Virginia,"14 - September 2-14, 2020",2821715,111901,45.8,1.9
Missouri,"26 - March 3-15, 2021",1528066,111390,34.6,2.5
Colorado,"17 - October 14-26, 2020",1943647,110972,44.9,2.6
Colorado,"20 - November 25 - December 7, 2020",2055248,110755,46.9,2.6
Minnesota,"21 - December 9-21, 2020",1666329,110744,40.9,2.9
Alabama,"18 - October 28 - November 9, 2020",895214,110718,25.2,3.1
Minnesota,"22 - January 6-18, 2021",1826648,110707,45,2.6
Colorado,"25 - February 17 - March 1, 2021",1935692,110545,45.6,2.6
Minnesota,"19 - November 11-23, 2020",1679052,110354,41,2.7
Minnesota,"25 - February 17 - March 1, 2021",1696356,110309,41.6,2.6
Minnesota,"18 - October 28 - November 9, 2020",1782166,108789,43.5,2.7
Maryland,"19 - November 11-23, 2020",2006109,108326,46.4,2.5
South Carolina,"27 - March 17-29, 2021",1015270,107818,27.6,2.8
Alabama,"23 - January 20 - February 1, 2021",948494,107760,27.8,3.3
Tennessee,"15 - September 16-28, 2020",1401976,107214,28.5,2.3
Indiana,"16 - September 30 - October 12, 2020",1451637,107108,29.9,2.3
Oklahoma,"18 - October 28 - November 9, 2020",866358,106995,30.9,3.8
Massachusetts,"17 - October 14-26, 2020",2543603,106926,50.4,2.4
Minnesota,"27 - March 17-29, 2021",1879867,106605,45.9,2.6
Alabama,"25 - February 17 - March 1, 2021",876697,106334,24.6,3.1
Minnesota,"20 - November 25 - December 7, 2020",1699163,106106,41.7,2.7
Louisiana,"26 - March 3-15, 2021",886596,105702,27.5,3.4
Maryland,"26 - March 3-15, 2021",2187948,105480,50.2,2.3
South Carolina,"15 - September 16-28, 2020",1145020,105403,30.3,2.9
Louisiana,"25 - February 17 - March 1, 2021",879555,105184,27.4,3.4
Washington,"17 - October 14-26, 2020",2361877,104977,41.6,1.8
Washington,"15 - September 16-28, 2020",2375401,104817,42.1,1.9
Colorado,"19 - November 11-23, 2020",2045863,104698,47.3,2.5
Maryland,"17 - October 14-26, 2020",2047520,104582,46.5,2.4
Wisconsin,"15 - September 16-28, 2020",1543347,104571,36.8,2.4
Louisiana,"23 - January 20 - February 1, 2021",841036,104263,27.1,3.3
Maryland,"18 - October 28 - November 9, 2020",1930389,103442,44.3,2.3
Massachusetts,"16 - September 30 - October 12, 2020",2453894,102836,47.7,1.9
Oklahoma,"24 - February 3-15, 2021",884878,102732,31.6,3.7
Kentucky,"19 - November 11-23, 2020",1104535,102042,34.4,3.1
Indiana,"13 - August 19-31, 2020",1450058,101714,30.4,2
Colorado,"14 - September 2-14, 2020",1851849,101595,43.3,2.3
Maryland,"14 - September 2-14, 2020",2011210,101447,46.3,2.3
Alabama,"19 - November 11-23, 2020",924757,101385,26.2,2.8
Kentucky,"18 - October 28 - November 9, 2020",953103,101046,29.2,3
Mississippi,"25 - February 17 - March 1, 2021",472998,100953,23.1,4.7
Louisiana,"21 - December 9-21, 2020",809365,100491,24.6,3.1
Louisiana,"22 - January 6-18, 2021",782361,100447,23.8,3.1
Wisconsin,"17 - October 14-26, 2020",1464684,100380,34.5,2.3
Arizona,"14 - September 2-14, 2020",1900202,100317,35.6,1.9
Virginia,"15 - September 16-28, 2020",2583370,100292,42.5,1.7
Indiana,"19 - November 11-23, 2020",1467444,100250,30.7,2.1
Arizona,"13 - August 19-31, 2020",1861939,99983,35,1.8
South Carolina,"21 - December 9-21, 2020",1029331,99643,27.6,2.8
Massachusetts,"13 - August 19-31, 2020",2416650,99109,47.4,2
